stationId,stationLatitude,stationLongitude,avg(parkingBike/rackTotCnt)
ST-100,37.53666687,127.07359314,0.0
ST-1003,37.53955078,126.82830048,0.0
ST-101,37.53297043,127.07593536,0.0
ST-1010,37.53620148,126.82779694,0.0
ST-1012,37.53952026,126.82540131,0.0
ST-1013,37.55073166,126.86457825,0.0
ST-1020,37.59714127,126.90959930,0.0
ST-1021,37.60520172,126.92211151,0.0
ST-1025,37.60169983,126.92742157,0.0
ST-1027,37.63722229,126.93330383,0.0
ST-1028,37.64408112,126.92928314,0.0
ST-1029,37.60240173,126.92864990,0.0
ST-1031,37.63414001,126.93234253,0.0
ST-1033,37.62266922,126.91999054,0.0
ST-1034,37.57720184,126.90235138,0.0
ST-1037,37.61930466,126.92059326,0.0
ST-1038,37.62265015,126.92524719,0.0
ST-1039,37.62577820,126.92881775,0.0
ST-104,37.54820251,127.05711365,0.0
ST-1044,37.53596115,127.14781952,0.0
ST-1047,37.52703094,127.12206268,0.0
ST-1050,37.55793381,127.14476776,0.0
ST-1051,37.56187820,127.15078735,0.0
ST-1052,37.55509567,127.15528107,0.0
ST-1053,37.55199051,127.15331268,0.0
ST-1054,37.56256485,127.17761230,0.0
ST-1056,37.56129837,127.16784668,0.0
ST-1058,37.55916214,127.15332031,0.0
ST-107,37.54122162,127.04380035,0.0
ST-1070,37.50593185,127.10774994,0.0
ST-1072,37.50165176,127.12818146,0.0
ST-1075,37.49113083,127.12580872,0.0
ST-1076,37.49209976,127.11775208,0.0
ST-1077,37.49319839,127.12899780,0.0
ST-1078,37.50898361,127.12659454,0.0
ST-1079,37.50630188,127.12139893,0.0
ST-108,37.54458237,127.04460907,0.0
ST-1082,37.48054123,127.13701630,0.0
ST-1085,37.47880936,127.12000275,0.0
ST-1086,37.51424026,127.12306976,0.0
ST-1087,37.51728821,127.11419678,0.0
ST-1089,37.49998474,127.13539124,0.0
ST-1090,0.00000000,0.00000000,0.0
ST-1094,37.59552002,127.09877777,0.0
ST-1103,37.63018036,127.02490997,0.0
ST-1108,37.61963654,127.04453278,0.0
ST-1118,37.63957977,127.06510162,0.0
ST-1119,37.67237473,127.05599213,0.0
ST-1120,37.68000031,127.05558014,0.0
ST-1122,37.66379166,127.07544708,0.0
ST-1123,37.63111115,127.07015991,0.0
ST-1127,37.65032959,127.07160187,0.0
ST-1128,37.64207077,127.07662201,0.0
ST-113,37.53023529,127.08683014,0.0
ST-1131,37.65317917,127.01278687,0.0
ST-1132,37.65420151,127.05072784,0.0
ST-1136,37.66867065,127.04798126,0.0
ST-114,37.54840469,127.06936646,0.0
ST-1143,37.46257401,126.90686035,0.0
ST-1144,37.47709656,126.91113281,0.0
ST-1153,37.50592804,126.96923065,0.0
ST-1154,37.48665237,126.96784210,0.0
ST-1157,37.47862625,126.95129395,0.0
