자치구별(1),자치구별(2),합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
서울시,소계,5049,1811,23,92,1162,1637,28,296
서울시,종로구,74,32,2,1,7,3,-,29
서울시,중구,65,23,-,7,3,10,-,22
서울시,용산구,113,35,2,7,18,38,1,12
서울시,성동구,163,81,-,3,21,49,-,9
서울시,광진구,162,56,-,-,56,45,1,4
서울시,동대문구,190,76,-,3,44,59,-,8
서울시,중랑구,204,64,-,5,68,64,1,2
서울시,성북구,226,88,2,12,45,72,2,5
서울시,강북구,135,62,1,2,45,21,2,2
서울시,도봉구,188,66,1,2,49,66,1,3
서울시,노원구,332,93,2,-,41,188,1,7
서울시,은평구,232,84,-,7,89,47,1,4
서울시,서대문구,142,62,-,2,35,37,1,5
서울시,마포구,193,81,-,5,30,56,4,17
서울시,양천구,263,87,-,1,46,121,-,8
서울시,강서구,341,93,1,5,88,136,3,15
서울시,구로구,286,97,3,5,63,106,3,9
서울시,금천구,140,56,1,10,38,28,-,7
서울시,영등포구,234,81,2,2,44,70,-,35
서울시,동작구,186,70,1,2,42,62,1,8
서울시,관악구,203,84,2,5,49,57,1,5
서울시,서초구,179,88,-,1,28,39,2,21
서울시,강남구,190,63,-,-,47,43,1,36
서울시,송파구,357,104,2,3,95,134,1,18
서울시,강동구,251,85,1,2,71,86,1,
