GU,SQ1_2,AQ1_1,AQ1_2,AQ1_3,AQ1_4,AQ2_1,AQ2_2,AQ2_3,AQ2_4,AQ2_5,AQ3,AQ4,AQ7_1,AQ7_2,AQ7_3,AQ7_4,AQ23_1,AQ23_2,AQ23_3,AQ23_4,AQ30_1,AQ30_2,AQ30_3,AQ30_4,AQ30_5,DEW2,wtb1
110,1,2,3,4,3,3,4,3,3,3,4,2,3,5,2,2,5,4,3,2,7,9,8,9,8,6,220.588
110,2,2,3,2,3,4,4,3,2,3,4,4,3,4,3,4,5,5,4,2,7,8,9,8,8,6,179.407
110,2,2,2,3,3,3,1,2,3,3,4,3,2,4,3,4,4,5,3,2,7,8,7,8,7,4,73.806
110,1,1,2,3,1,2,2,3,1,1,4,3,3,5,4,3,5,4,3,2,5,7,8,9,8,5,52.521
110,2,3,3,2,3,3,4,3,3,3,3,3,3,5,3,3,5,5,3,3,9,6,8,8,8,5,53.088
110,1,2,2,3,3,2,4,4,3,4,4,2,3,5,3,3,5,4,3,3,7,9,8,9,8,2,77.878
110,1,2,1,1,2,3,2,2,3,3,3,3,2,5,3,2,4,3,2,2,9,4,5,5,8,3,101.042
110,2,2,2,3,3,3,2,2,2,3,4,3,2,5,3,4,5,5,3,2,7,9,9,8,4,3,57.898
110,1,3,3,2,3,3,5,3,3,2,4,2,3,4,4,4,5,5,3,3,8,9,9,8,9,4,151.794
110,2,3,2,3,2,3,4,2,3,3,4,3,2,5,3,2,5,3,3,3,9,8,8,7,9,4,164.213
110,1,2,2,3,3,2,3,3,3,3,4,3,2,4,3,3,5,4,4,2,8,9,8,9,8,1,283.973
110,1,2,2,1,1,3,3,2,3,3,3,3,3,5,2,3,4,3,3,2,9,9,8,9,8,1,283.973
110,1,2,3,2,3,3,5,3,2,3,3,3,3,5,4,3,5,4,3,3,7,9,8,7,8,5,62.646
110,2,3,2,2,1,3,4,3,3,3,3,3,3,5,3,4,5,4,5,3,7,9,7,8,8,5,63.322
110,1,3,1,1,1,2,3,3,3,2,3,3,3,5,3,3,5,4,3,3,7,8,9,9,8,6,74.081
110,2,2,3,2,3,2,3,3,3,4,4,2,3,5,4,3,5,4,3,3,7,8,9,9,8,6,60.251
110,1,2,2,1,2,3,4,2,3,2,4,2,3,5,4,4,5,5,3,2,5,7,9,8,8,4,27.687
110,2,2,2,3,2,2,4,2,3,3,4,2,3,5,3,4,5,4,3,2,8,7,8,9,8,4,29.952
110,1,2,2,3,3,2,4,2,3,3,2,3,3,5,4,3,5,4,3,2,8,9,8,7,9,1,51.796
110,1,2,3,2,3,3,4,4,3,3,5,2,5,5,3,4,5,4,2,2,7,9,8,9,8,4,54.93
110,2,3,2,3,4,2,4,2,2,1,3,3,4,5,3,4,5,5,4,2,7,8,9,8,8,4,59.424
110,1,2,1,1,3,3,3,3,4,4,4,3,4,4,2,3,5,4,2,2,8,7,8,9,8,1,102.762
110,1,2,1,1,1,3,3,2,3,2,4,2,4,5,4,3,5,5,4,2,7,9,8,9,8,6,220.588
110,2,2,2,3,3,2,3,3,4,3,3,3,4,5,4,3,5,5,4,2,6,7,6,6,7,6,179.407
110,1,2,3,2,2,3,3,3,2,3,4,2,4,5,3,2,4,4,3,3,7,8,9,8,7,6,61.683
110,2,2,1,2,3,3,3,2,3,3,4,3,3,5,2,3,5,5,4,2,7,8,9,9,8,6,50.168
110,2,2,3,4,3,2,3,3,2,3,5,1,3,4,3,3,4,3,3,2,7,8,9,9,8,3,33.266
110,1,2,3,2,1,2,4,2,3,3,3,3,4,5,4,3,5,4,3,3,7,9,8,9,8,5,34.358
110,2,3,2,3,2,3,3,3,3,2,4,3,4,4,3,3,5,4,2,2,7,8,9,8,8,5,34.729
110,2,4,3,2,2,3,3,3,2,3,4,2,5,5,2,3,5,5,4,3,7,9,8,9,8,2,39.71
110,1,2,2,3,2,3,4,2,3,3,3,3,4,4,3,3,5,4,2,2,7,8,9,8,8,4,21.604
110,2,3,2,2,2,5,4,2,2,3,5,2,4,4,3,4,5,5,4,3,7,9,9,8,7,4,23.372
110,1,2,2,3,3,4,4,2,1,2,4,3,3,5,4,3,5,4,3,2,8,7,8,9,8,1,40.416
110,1,2,2,1,1,3,3,2,1,1,4,3,4,5,4,3,5,5,4,2,8,9,9,8,8,1,40.416
110,1,2,2,2,3,3,3,3,3,3,4,3,4,5,3,4,4,3,2,2,9,8,9,8,8,6,61.683
110,2,2,2,1,2,3,4,2,3,2,4,2,3,5,3,4,5,3,3,2,9,8,9,9,8,6,50.168
110,2,2,2,1,1,4,3,2,2,3,2,3,4,5,3,3,5,4,3,3,7,9,9,8,8,3,33.266
110,1,2,1,2,3,3,3,1,2,3,5,2,4,4,3,3,4,3,3,2,8,9,9,8,9,6,30.02
110,2,2,2,3,3,3,3,3,3,2,4,2,4,5,4,3,4,3,2,2,9,9,8,9,8,6,24.416
110,1,2,1,2,2,3,3,3,3,3,4,2,3,5,4,3,5,4,3,3,8,9,9,8,9,3,28.255
110,1,3,2,3,2,4,3,2,3,3,4,2,3,5,2,2,5,5,3,3,7,9,8,9,8,3,32.429
110,2,2,2,3,3,3,4,4,3,4,3,3,4,5,4,3,5,5,4,3,9,8,9,7,8,3,18.582
110,1,3,2,1,1,4,3,3,3,2,3,1,4,5,3,2,5,4,3,3,7,8,9,8,8,5,70.596
110,2,2,2,3,2,3,4,2,3,4,2,3,3,5,2,3,5,5,4,2,7,9,8,9,7,5,71.358
110,2,3,2,2,1,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,8,7,7,8,7,2,81.592
110,1,2,1,2,3,2,2,2,3,3,4,3,4,5,3,2,5,4,3,3,8,9,8,9,8,5,34.358
110,2,3,4,3,3,4,4,3,4,3,4,3,3,5,3,3,5,5,4,2,9,8,9,9,8,5,34.729
110,2,3,2,2,3,3,3,1,1,2,4,2,4,5,3,3,4,3,2,2,8,9,9,8,8,3,16.19
110,1,2,1,2,2,4,3,2,3,2,4,2,4,5,3,3,5,5,3,2,8,9,8,8,8,4,18.112
110,2,2,3,2,3,3,2,2,3,2,4,2,3,5,2,3,5,5,3,3,8,9,8,8,8,4,19.594
110,2,2,2,3,3,4,4,2,3,3,4,3,5,5,2,3,5,5,3,2,9,8,7,9,8,2,39.71
110,1,2,3,2,3,3,4,2,3,3,2,3,4,5,3,3,4,3,2,2,9,8,8,9,8,6,99.576
110,2,2,2,1,3,3,4,2,3,2,4,4,3,4,3,3,5,4,3,3,8,9,8,9,8,6,80.986
110,1,2,3,2,3,4,4,2,3,3,5,2,4,5,2,3,5,4,3,3,9,8,9,9,8,5,20.045
110,2,2,3,2,3,4,4,2,3,3,5,3,3,4,3,3,5,4,3,3,9,8,8,9,8,5,20.261
110,1,2,2,1,1,4,3,3,3,4,4,4,4,4,4,4,5,4,4,3,7,9,8,9,8,6,52.151
110,2,3,2,3,3,4,3,3,2,3,4,2,3,4,3,2,4,3,3,2,5,6,8,9,8,6,42.415
110,2,1,2,1,3,2,2,2,3,2,4,2,4,4,3,3,4,3,4,3,9,8,9,8,9,3,13.688
110,2,2,2,1,1,4,4,2,3,2,4,4,4,4,2,3,4,3,2,2,9,8,9,9,8,3,13.688
110,1,3,2,3,3,4,4,2,3,3,4,3,4,5,4,3,5,4,4,3,7,8,9,8,8,4,9.486
110,2,2,2,3,4,4,3,3,2,3,4,3,4,4,3,3,5,5,3,2,8,9,8,9,8,4,10.262
110,1,3,2,3,2,3,4,2,3,3,4,2,3,4,3,2,5,4,3,3,9,8,9,9,8,1,17.746
110,2,2,1,2,3,3,3,3,2,3,4,4,3,5,2,4,4,3,3,2,7,6,7,7,6,6,56.408
110,1,3,3,2,3,5,5,3,4,3,4,2,4,5,3,3,5,5,5,2,9,8,7,9,9,3,117.505
110,2,3,3,2,3,5,5,3,4,3,4,2,4,5,3,3,5,5,5,2,9,7,8,9,9,3,67.331
110,1,3,2,2,3,5,5,2,4,2,4,2,4,5,3,3,5,5,5,2,9,7,9,10,9,3,117.505
110,2,3,2,2,2,5,5,3,3,3,4,2,4,5,3,3,5,5,5,2,9,8,9,10,9,3,67.331
110,1,3,4,3,4,3,3,3,2,2,5,3,4,5,3,3,5,4,3,2,9,8,9,8,8,5,255.797
110,2,3,2,3,2,4,5,3,3,3,4,2,4,5,3,3,5,4,4,2,8,9,8,9,8,5,258.558
110,1,3,2,2,3,4,5,3,4,3,5,2,3,5,3,3,5,5,5,2,10,9,8,10,9,6,86.151
110,2,3,3,2,3,5,5,3,3,4,5,2,4,5,3,3,5,5,5,2,7,8,9,9,9,5,99.663
110,1,1,3,4,3,4,5,4,3,3,4,2,4,5,4,3,5,5,5,2,10,9,9,9,10,3,63.419
110,2,3,3,1,3,4,4,2,3,2,4,2,4,5,3,3,5,5,4,2,9,8,9,9,8,3,36.339
110,1,3,3,2,3,4,5,3,3,3,5,2,4,5,3,3,5,4,4,2,8,6,7,10,9,4,14.345
110,2,3,3,2,3,4,5,3,4,3,4,2,4,5,3,3,5,5,5,2,9,9,9,10,9,3,12.823
110,1,3,2,3,2,5,4,3,2,3,4,1,3,5,3,3,5,5,5,2,8,8,9,9,8,4,24.796
110,2,3,3,2,3,5,5,3,3,3,4,2,4,5,2,2,5,5,5,2,8,7,8,9,10,4,26.825
110,1,3,2,2,3,5,4,3,3,2,4,2,3,5,3,3,5,5,5,2,8,9,8,9,9,5,40.982
110,2,3,3,3,5,5,5,3,4,3,5,2,3,5,4,4,5,5,5,2,8,8,9,9,9,5,41.424
110,1,3,2,2,4,5,5,3,3,3,5,2,4,5,3,2,5,5,4,3,9,7,7,8,8,3,52.351
110,2,3,3,2,4,4,5,3,3,3,4,2,4,5,3,2,5,5,5,2,9,8,9,8,8,3,29.998
110,1,3,3,2,4,5,5,3,4,3,4,2,4,5,3,3,5,5,5,2,7,7,7,9,8,6,99.576
110,2,4,3,3,3,5,5,3,4,3,5,2,4,5,3,3,5,5,5,2,9,8,9,9,9,6,80.986
110,1,4,3,3,5,3,4,3,2,2,4,2,4,4,3,3,5,5,5,4,7,6,7,7,7,3,18.919
110,2,3,4,4,5,3,5,2,4,2,4,2,3,5,3,2,5,5,5,3,8,8,8,6,7,3,10.841
110,2,4,4,4,5,4,3,3,3,3,4,3,3,5,3,2,5,3,4,4,7,8,7,7,7,6,1600.316
110,1,4,3,2,4,5,5,3,3,3,4,2,4,5,3,3,5,5,5,2,10,9,9,10,9,3,155.357
110,2,3,3,2,4,4,3,3,2,3,5,3,4,5,4,3,5,4,5,5,9,8,9,8,8,6,48.682
110,1,3,3,5,5,3,4,2,3,3,4,1,3,5,4,3,5,5,4,3,9,6,9,8,8,3,238.288
110,1,3,1,2,4,4,3,1,3,3,5,4,3,5,3,2,5,4,4,3,8,7,8,6,7,6,220.588
110,2,3,3,5,4,4,3,3,4,3,4,2,3,5,3,2,5,4,3,2,8,8,7,7,8,6,179.407
110,1,2,1,2,2,4,4,2,4,4,4,3,2,5,1,3,5,5,4,2,7,9,8,8,8,6,220.588
110,2,4,3,5,5,5,5,1,4,4,5,4,2,5,1,2,5,5,5,2,6,6,7,7,9,6,179.407
110,1,3,3,3,3,4,5,3,4,3,4,2,4,5,3,2,5,5,5,2,9,9,8,8,9,5,52.521
110,2,3,3,3,4,5,5,3,4,3,4,2,4,5,3,3,5,4,4,2,10,10,9,8,10,5,53.088
